regime,task_id,kv_caching,ratio,h_mean_bits,ce_mean_bits
teacher_forced,0,full,,0.09838105400558556,25.139410495758057
teacher_forced,1,full,,0.28894902020692825,24.286314964294434
teacher_forced,10,full,,1.7070946991443634,22.39974852970668
teacher_forced,100,full,,0.25245061097666616,27.451873779296875
teacher_forced,101,full,,1.0545969367027284,18.77303466796875
teacher_forced,102,full,,6.474204540252686,9.92938756942749
teacher_forced,103,full,,1.1180362105369568,26.491313934326172
teacher_forced,104,full,,2.1891475717226663,15.025179545084635
teacher_forced,105,full,,0.1402861028909683,22.44062042236328
teacher_forced,106,full,,4.935468355814616,26.651943842569988
teacher_forced,107,full,,0.15630796441837444,28.726313591003418
teacher_forced,108,full,,0.8587672710418701,25.239831924438477
teacher_forced,109,full,,1.6838722024112938,25.602063179016113
teacher_forced,11,full,,2.482340077559153,17.61664581298828
teacher_forced,110,full,,1.3723488425215085,19.56310224533081
teacher_forced,111,full,,0.526840603351593,22.732167053222657
teacher_forced,112,full,,0.24679547548294065,23.123699188232422
teacher_forced,113,full,,0.1410488039255142,23.024471282958984
teacher_forced,114,full,,0.5037213861942291,27.38538646697998
teacher_forced,115,full,,1.0027049779891968,16.606386184692383
teacher_forced,116,full,,0.9560866914689541,22.652851104736328
teacher_forced,117,full,,4.179903709888459,18.69510006904602
teacher_forced,118,full,,0.12360649703380959,26.9423828125
teacher_forced,119,full,,2.644130378961563,22.802287340164185
teacher_forced,12,full,,2.3562636971473694,27.3467222849528
teacher_forced,120,full,,0.2166408896446228,25.43756866455078
teacher_forced,121,full,,0.46308953714712214,30.433039983113606
teacher_forced,122,full,,3.255560541152954,19.41102867126465
teacher_forced,123,full,,1.1393272197908826,23.287899441189236
teacher_forced,124,full,,0.1228989395499411,33.660526275634766
teacher_forced,125,full,,0.0984921231865882,21.92304420471191
teacher_forced,126,full,,1.1027699444176895,22.334579467773438
teacher_forced,127,full,,0.21649010851979256,18.41131591796875
teacher_forced,128,full,,1.5870912075042725,22.29666519165039
teacher_forced,129,full,,0.3379394125659018,23.05910861492157
teacher_forced,13,full,,0.2968561537563801,25.68786334991455
teacher_forced,130,full,,1.5178704857826233,17.221377849578857
teacher_forced,131,full,,0.2069552987813949,28.058229446411133
teacher_forced,132,full,,2.6203353598713877,20.286196899414062
teacher_forced,133,full,,0.6864359490573406,22.4781436920166
teacher_forced,134,full,,3.3061830600102744,22.063170115152996
teacher_forced,135,full,,0.42477849777787924,29.764785130818684
teacher_forced,136,full,,3.05244771639506,14.507916132609049
teacher_forced,137,full,,0.06683482415974135,29.13449478149414
teacher_forced,138,full,,1.9593916535377502,20.675684928894043
teacher_forced,139,full,,0.3545551724091638,31.865452766418457
teacher_forced,14,full,,2.540684015654466,17.977502822875977
teacher_forced,140,full,,2.088270425796509,20.388922929763794
teacher_forced,141,full,,5.609893321990967,20.273691177368164
teacher_forced,142,full,,1.4431267455220222,19.231642961502075
