regime,task_id,ratio,context_length,H_seq_full,H_seq_comp,IG_seq,KL_seq,KL_seq_se,confidence_full,confidence_comp,score_full,score_comp,delta_score
sampled,0,0.25,4989,22.14957046508789,12.45075511932373,-9.69881534576416,6.317156791687012,1.3071523077903808,0.3206988470296066,0.5068481757313517,1.0,1.0,0.0
sampled,0,0.5,4989,22.14957046508789,23.25253295898437,1.1029624938964808,8.209549903869629,2.3331388701285416,0.3206988470296066,0.447417596836947,1.0,1.0,0.0
sampled,0,0.75,4989,22.14957046508789,30.46001243591309,8.310441970825199,10.441227912902832,2.6900004265653705,0.3206988470296066,0.3922436802608778,1.0,0.0,-1.0
sampled,0,0.95,4989,22.14957046508789,54.62722396850586,32.47765350341797,18.14070701599121,3.3820815102236783,0.3206988470296066,0.358784734417047,1.0,0.0,-1.0
sampled,1,0.25,10228,7.576243877410889,8.480295181274414,0.9040513038635254,1.9080480337142944,0.6765046480389912,0.4587970966421066,0.5008040766346222,1.0,1.0,0.0
sampled,1,0.5,10228,7.576243877410889,26.774301528930664,19.198057651519775,3.1943953037261963,0.9595183324449053,0.4587970966421066,0.3264976806997396,1.0,1.0,0.0
sampled,1,0.75,10228,7.576243877410889,35.5386848449707,27.962440967559814,4.453063011169434,1.154786209202744,0.4587970966421066,0.3216983781761917,1.0,1.0,0.0
sampled,1,0.95,10228,7.576243877410889,58.98992919921875,51.41368532180786,14.688715934753418,1.471788381955696,0.4587970966421066,0.273737322633091,1.0,0.0,-1.0
sampled,2,0.25,5510,15.231443405151367,36.65993118286133,21.42848777770996,5.555192947387695,2.080414035377033,0.3580770692691723,0.2877613047945227,1.0,1.0,0.0
sampled,2,0.5,5510,15.231443405151367,28.19867706298828,12.967233657836914,5.935662746429443,1.906312755114569,0.3580770692691723,0.3759609602395749,1.0,1.0,0.0
sampled,2,0.75,5510,15.231443405151367,44.18453598022461,28.953092575073242,10.120649337768556,3.156907902502512,0.3580770692691723,0.3120782172435801,1.0,0.0,-1.0
sampled,2,0.95,5510,15.231443405151367,37.59867858886719,22.36723518371582,13.407590866088867,4.118111850696111,0.3580770692691723,0.3436639723438363,1.0,1.0,0.0
sampled,3,0.25,8007,11.075373649597168,19.757396697998047,8.682023048400879,2.3665192127227783,0.8873047949799077,0.4583285024775402,0.4464069072639181,1.0,1.0,0.0
