regime,task_id,ratio,h_full,h_compressed,delta_h,kl,ce_full,ce_compressed,excess_ce
teacher_forced,0,0.25,0.3531802967190742,0.36913854547310615,0.015958248754031974,0.005129613913595625,26.789832592010498,26.05384111404419,-0.7359914779663086
teacher_forced,0,0.75,0.3531802967190742,0.3413899167208001,-0.0117903799982741,0.0035991317672596,26.789832592010498,25.833913326263428,-0.9559192657470703
teacher_forced,1,0.25,0.1640215941297356,3.9429815113544464,3.778959840536117,7.109966427087784,31.310495853424072,18.576205492019653,-12.734290361404419
teacher_forced,1,0.75,0.1640215941297356,3.978131115436554,3.81410950422287,6.763063341379166,31.310495853424072,18.767722845077515,-12.542773008346558
teacher_forced,10,0.25,0.923158368894032,0.9753780492714473,0.05221968037741524,0.07276221710656365,22.27902385166713,21.986056872776576,-0.29296697889055423
teacher_forced,10,0.75,0.923158368894032,1.179896701659475,0.256738332765443,0.4925243356597743,22.27902385166713,22.16154330117362,-0.1174805504935108
teacher_forced,100,0.25,0.5916174077246978,0.5083372830219256,-0.0832801247027722,0.013675588260149097,35.362274169921875,35.38246981302897,0.020195643107093986
teacher_forced,100,0.75,0.5916174077246978,1.0919639047109133,0.5003464969862156,0.5173209553028452,35.362274169921875,30.053810119628906,-5.308464050292969
teacher_forced,101,0.25,0.5617311613634228,0.5871128754690289,0.02538171410560606,0.002419809909406454,24.22617950439453,24.09829177856445,-0.12788772583007812
teacher_forced,101,0.75,0.5617311613634228,0.6421463092789054,0.08041514782235029,0.009641530514636508,24.22617950439453,23.84601249694824,-0.38016700744628906
teacher_forced,102,0.25,1.8851567804813385,2.003459483385086,0.11830270290374753,0.04029965959489345,20.82293939590454,20.111629962921143,-0.7113094329833984
teacher_forced,102,0.75,1.8851567804813385,2.4444069862365723,0.5592502057552338,0.12717669084668154,20.82293939590454,19.520642280578613,-1.3022971153259277
teacher_forced,103,0.25,0.1399781629443168,0.8452044352889061,0.7052262723445893,4.158824265003204,31.606779098510742,26.876192092895508,-4.730587005615234
teacher_forced,103,0.75,0.1399781629443168,1.6332198977470398,1.4932417869567869,0.9492002725601196,31.606779098510742,24.908716201782227,-6.698062896728516
teacher_forced,104,0.25,2.8955734173456826,2.891688962777456,-0.003884454568227095,0.08453946436444913,16.698817253112793,17.513148625691734,0.8143313725789412
teacher_forced,104,0.75,2.8955734173456826,2.8975934982299805,0.002020080884297689,0.18766719537476692,16.698817253112793,17.797305742899578,1.098488489786785
teacher_forced,105,0.25,0.731865644454956,0.7364174723625183,0.0045518279075622,0.0002351648727199,25.79830551147461,25.16762351989746,-0.6306819915771484
teacher_forced,105,0.75,0.731865644454956,0.5841057896614075,-0.1477598547935485,0.0270950272679328,25.79830551147461,23.74172782897949,-2.0565776824951207
