regime,task_id,ratio,H_full_bits,H_compressed_bits,delta_H_bits,confidence_full,confidence_compressed,score_full,score_compressed,delta_score
sampled,0,0.25,23.17238426208496,18.700927734375,-4.471456527709961,0.3641531684544207,0.5333181901219118,0.3333,0.3333,0.0
sampled,0,0.75,23.17238426208496,15.225675582885742,-7.946708679199219,0.3641531684544207,0.5140552069108643,0.3333,0.3333,0.0
sampled,1,0.25,1.523478627204895,6.391320705413818,4.867842078208923,0.7916568943537514,0.4223621200787272,0.0,0.0,0.0
sampled,1,0.75,1.523478627204895,27.11394500732422,25.590466380119324,0.7916568943537514,0.2324319112021364,0.0,0.0,0.0
sampled,2,0.25,10.843768119812012,20.83593368530273,9.992165565490719,0.2940052747377561,0.2009482962815732,0.0,0.0,0.0
sampled,2,0.75,10.843768119812012,35.00917053222656,24.16540241241455,0.2940052747377561,0.0690777276603328,0.0,0.0,0.0
sampled,3,0.25,13.382161140441896,6.714295387268066,-6.66786575317383,0.4077585799804659,0.522992202398859,0.0,0.0,0.0
sampled,3,0.75,13.382161140441896,11.93525505065918,-1.4469060897827166,0.4077585799804659,0.3128840675647006,0.0,0.0,0.0
sampled,4,0.25,19.568742752075195,20.067842483520508,0.4990997314453125,0.413984891463186,0.4749028694741977,0.0,0.09519999999999999,0.09519999999999999
sampled,4,0.75,19.568742752075195,31.12880516052246,11.560062408447266,0.413984891463186,0.4029747503776985,0.0,0.11109999999999999,0.11109999999999999
sampled,5,0.25,3.860828161239624,3.7905545234680176,-0.07027363777160645,0.5172942595753239,0.5365424724980057,1.0,1.0,0.0
sampled,5,0.75,3.860828161239624,3.54370379447937,-0.3171243667602539,0.5172942595753239,0.5618062574273417,1.0,1.0,0.0
sampled,6,0.25,18.36519432067871,17.090167999267578,-1.2750263214111328,0.354049555208463,0.4326763161402522,0.0,0.0,0.0
sampled,6,0.75,18.36519432067871,15.654597282409668,-2.710597038269043,0.354049555208463,0.4356774861101912,0.0,0.0,0.0
sampled,7,0.25,2.042611122131348,4.773409843444824,2.730798721313476,0.7360503525851614,0.5663738031267775,0.0,0.0,0.0
sampled,7,0.75,2.042611122131348,4.9946699142456055,2.9520587921142574,0.7360503525851614,0.571094327554231,0.0,0.0,0.0
sampled,8,0.25,14.07249927520752,7.675592422485352,-6.396906852722168,0.2281102379167536,0.5037840078175851,1.0,1.0,0.0
sampled,8,0.75,14.07249927520752,6.56726598739624,-7.505233287811279,0.2281102379167536,0.4486900700667219,1.0,1.0,0.0
sampled,9,0.25,3.745748519897461,9.134662628173828,5.388914108276367,0.6258427444870033,0.5024673868692754,0.0,0.0,0.0
sampled,9,0.75,3.745748519897461,53.00468444824219,49.25893592834473,0.6258427444870033,0.1758823690832417,0.0,0.0,0.0
sampled,10,0.25,31.73828125,34.97474670410156,3.2364654541015625,0.218867503833518,0.3332236409863852,0.0,0.0,0.0
sampled,10,0.75,31.73828125,57.04259490966797,25.30431365966797,0.218867503833518,0.2603374639979051,0.0,0.0,0.0
sampled,11,0.25,4.608856678009033,47.60768508911133,42.998828411102295,0.5292059011145295,0.0429047665995823,0.0,0.0,0.0
sampled,11,0.75,4.608856678009033,32.552452087402344,27.94359540939331,0.5292059011145295,0.0846974488196471,0.0,0.0,0.0
sampled,12,0.25,20.24907875061035,3.7651634216308594,-16.483915328979492,0.4925531123663342,0.7318508580400054,0.0,0.0,0.0
