task_id,ratio,position,h_full,h_compressed,delta_H,kl,ce_full,ce_compressed,cache_seq_length_full,cache_seq_length_compressed
0,0.25,0,0.5434716939926147,0.5200793147087097,-0.02339237928390503,0.016037359833717346,33.73358154296875,29.922666549682617,4989,3741
0,0.25,1,1.475331425666809,1.7217777967453003,0.2464463710784912,0.04681756719946861,22.94011688232422,23.236980438232422,4989,3741
0,0.5,0,0.5434716939926147,1.5893869400024414,1.0459152460098267,0.5471126437187195,33.73358154296875,26.560636520385742,4989,2494
0,0.5,1,1.475331425666809,2.1723577976226807,0.6970263719558716,0.17340753972530365,22.94011688232422,21.21571159362793,4989,2494
0,0.75,0,0.5434716939926147,3.6067943572998047,3.0633225440979004,1.6972367763519287,33.73358154296875,24.907215118408203,4989,1247
0,0.75,1,1.475331425666809,2.604689598083496,1.129358172416687,0.32310834527015686,22.94011688232422,19.880992889404297,4989,1247
0,0.95,0,0.5434716939926147,3.957364797592163,3.413893222808838,2.5751330852508545,33.73358154296875,24.109270095825195,4989,249
0,0.95,1,1.475331425666809,2.5529730319976807,1.0776416063308716,0.44287654757499695,22.94011688232422,19.464435577392578,4989,249
1,0.25,0,1.0059722661972046,1.213867425918579,0.2078951597213745,0.023577088490128517,25.19862174987793,26.40045166015625,10228,7671
1,0.5,0,1.0059722661972046,1.666414499282837,0.6604422330856323,0.08653993904590607,25.19862174987793,25.480079650878906,10228,5114
1,0.75,0,1.0059722661972046,2.6936140060424805,1.6876417398452759,0.4167865216732025,25.19862174987793,25.492753982543945,10228,2557
1,0.95,0,1.0059722661972046,6.138330459594727,5.132358074188232,6.883985996246338,25.19862174987793,25.38387107849121,10228,511
2,0.25,0,3.0222394466400146,2.307410478591919,-0.7148289680480957,0.4384503662586212,27.055273056030273,29.30902671813965,5510,4132
2,0.5,0,3.0222394466400146,2.1773977279663086,-0.844841718673706,0.618338942527771,27.055273056030273,29.335355758666992,5510,2755
2,0.75,0,3.0222394466400146,2.5921430587768555,-0.4300963878631592,0.6893747448921204,27.055273056030273,28.634706497192383,5510,1377
