task_id,ratio,position,h_full,h_compressed,delta_H,kl,ce_full,ce_compressed,cache_seq_length_full,cache_seq_length_compressed
0,0.25,0,0.5434716939926147,0.5445747375488281,0.001103043556213379,0.014566722325980663,33.73358154296875,29.82073974609375,4989,3741
0,0.25,1,1.475331425666809,1.7190508842468262,0.2437194585800171,0.05293143168091774,22.94011688232422,23.09246253967285,4989,3741
0,0.5,0,0.5434716939926147,1.9000451564788818,1.356573462486267,0.6170356273651123,33.73358154296875,26.297513961791992,4989,2494
0,0.5,1,1.475331425666809,2.173266887664795,0.6979354619979858,0.173244446516037,22.94011688232422,21.26079559326172,4989,2494
0,0.75,0,0.5434716939926147,3.6093080043792725,3.0658364295959473,1.792259693145752,33.73358154296875,25.014440536499023,4989,1247
0,0.75,1,1.475331425666809,2.6032135486602783,1.1278821229934692,0.3229537904262543,22.94011688232422,19.92577362060547,4989,1247
0,0.95,0,0.5434716939926147,3.948277235031128,3.4048056602478027,2.5268256664276123,33.73358154296875,24.118709564208984,4989,249
0,0.95,1,1.475331425666809,2.5266530513763428,1.0513216257095337,0.40390321612358093,22.94011688232422,19.650009155273438,4989,249
1,0.25,0,1.0035653114318848,1.213867425918579,0.21030211448669434,0.02398938685655594,25.288400650024414,26.40045166015625,10228,7671
1,0.5,0,1.0035653114318848,1.666414499282837,0.6628491878509521,0.08722580224275589,25.288400650024414,25.480079650878906,10228,5114
1,0.75,0,1.0035653114318848,2.6936140060424805,1.6900486946105957,0.4178106486797333,25.288400650024414,25.492753982543945,10228,2557
1,0.95,0,1.0035653114318848,6.138330459594727,5.134765148162842,6.8865532875061035,25.288400650024414,25.38387107849121,10228,511
2,0.25,0,3.0222394466400146,2.307410478591919,-0.7148289680480957,0.4384503662586212,27.055273056030273,29.30902671813965,5510,4132
2,0.5,0,3.0222394466400146,2.1773977279663086,-0.844841718673706,0.618338942527771,27.055273056030273,29.335355758666992,5510,2755
